origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001428301,06001433103,80.0,109.0,29.0
06001428301,06001433104,82.0,109.0,27.0
06001428301,06001433200,91.0,120.0,29.0
06001428301,06001433300,83.0,120.0,37.0
06001428301,06001433400,120.0,120.0,0.0
06001428301,06001433500,88.0,120.0,32.0
06001428301,06001433600,81.0,120.0,39.0
06001428301,06001433700,80.0,120.0,40.0
06001428301,06001433801,75.0,110.0,35.0
06001428301,06001433802,67.0,102.0,35.0
06001428301,06001433900,85.0,120.0,35.0
06001428301,06001434000,78.0,113.0,35.0
06001428301,06001435102,106.0,120.0,14.0
06001428301,06001435103,120.0,120.0,0.0
06001428301,06001435104,120.0,120.0,0.0
06001428301,06001435200,88.0,120.0,32.0
06001428301,06001435300,91.0,120.0,29.0
06001428301,06001435400,77.0,119.0,42.0
06001428301,06001435500,85.0,119.0,34.0
06001428301,06001435601,96.0,120.0,24.0
06001428301,06001435602,94.0,120.0,26.0
06001428301,06001435700,87.0,120.0,33.0
06001428301,06001435800,80.0,120.0,40.0
06001428301,06001435900,84.0,120.0,36.0
06001428301,06001436000,89.0,120.0,31.0
06001428301,06001436100,80.0,120.0,40.0
06001428301,06001436200,94.0,120.0,26.0
06001428301,06001436301,80.0,120.0,40.0
06001428301,06001436302,73.0,120.0,47.0
06001428301,06001436402,120.0,120.0,0.0
06001428301,06001436403,77.0,120.0,43.0
06001428301,06001436404,102.0,120.0,18.0
06001428301,06001436500,87.0,120.0,33.0
06001428301,06001436601,89.0,120.0,31.0
06001428301,06001436602,99.0,120.0,21.0
06001428301,06001436700,87.0,120.0,33.0
06001428301,06001436800,86.0,120.0,34.0
06001428301,06001436900,90.0,120.0,30.0
06001428301,06001437000,100.0,120.0,20.0
06001428301,06001437101,120.0,120.0,0.0
06001428301,06001437102,99.0,120.0,21.0
06001428301,06001437200,105.0,120.0,15.0
06001428301,06001437300,102.0,120.0,18.0
